t; gX; gY; gZ
0; -325; 37; 69
1; -344; 57; 54
2; -339; 56; 58
3; -342; 60; 69
4; -336; 34; 87
5; -323; 47; 79
6; -334; 81; 55
7; -339; 72; 60
8; -341; 58; 66
9; -367; 46; 61
10; -319; 41; 74
11; -358; 45; 72
12; -354; 64; 51
13; -347; 56; 59
14; -341; 43; 82
15; -324; 30; 52
16; -340; 78; 68
17; -329; 42; 56
18; -340; 49; 74
19; -337; 54; 36
20; -335; 50; 59
21; -353; 57; 59
22; -321; 57; 50
23; -342; 67; 89
24; -338; 67; 49
25; -346; 64; 79
26; -348; 81; 69
27; -353; 59; 55
28; -345; 52; 54
29; -357; 70; 67
30; -342; 36; 62
31; -345; 67; 67
32; -361; 60; 52
33; -334; 40; 59
34; -354; 64; 50
35; -358; 40; 53
36; -341; 54; 54
37; -323; 52; 55
38; -343; 57; 76
39; -358; 65; 63
40; -325; 49; 63
41; -333; 53; 76
42; -341; 51; 60
43; -357; 70; 50
44; -359; 65; 65
45; -341; 42; 61
46; -337; 55; 82
47; -343; 47; 48
48; -337; 58; 72
49; -342; 56; 37
50; -354; 45; 62
51; -336; 64; 48
52; -360; 93; 44
53; -328; 59; 94
54; -344; 35; 75
55; -360; 57; 77
56; -336; 60; 55
57; -339; 63; 56
58; -328; 48; 42
59; -330; 56; 56
60; -362; 57; 51
61; -328; 57; 56
62; -346; 70; 72
63; -351; 61; 69
64; -326; 36; 60
65; -349; 37; 66
66; -344; 45; 63
67; -348; 32; 58
68; -314; 40; 60
69; -341; 34; 73
70; -352; 49; 43
71; -341; 86; 67
72; -330; 33; 67
73; -339; 69; 48
74; -339; 60; 44
75; -332; 64; 68
76; -329; 50; 57
77; -308; 67; 78
78; -332; 38; 49
79; -340; 65; 58
80; -330; 49; 40
81; -336; 55; 83
82; -350; 49; 72
83; -351; 52; 46
84; -338; 53; 73
85; -331; 55; 60
86; -336; 69; 63
87; -327; 59; 37
88; -332; 64; 80
89; -323; 47; 48
90; -349; 42; 66
91; -351; 46; 77
92; -354; 42; 57
93; -332; 69; 73
94; -322; 63; 68
95; -355; 63; 54
96; -363; 48; 60
97; -355; 51; 52
98; -330; 65; 70
99; -328; 39; 77
100; -343; 62; 74
101; -335; 77; 58
102; -334; 31; 73
103; -331; 35; 37
104; -331; 63; 46
105; -345; 79; 72
106; -348; 52; 50
107; -337; 63; 49
108; -347; 63; 79
109; -338; 65; 67
110; -348; 54; 53
111; -335; 48; 58
112; -342; 81; 61
113; -348; 50; 80
114; -333; 57; 59
115; -329; 59; 68
116; -341; 57; 60
117; -340; 56; 64
118; -328; 37; 59
119; -358; 49; 56
120; -330; 53; 77
121; -318; 60; 79
122; -343; 38; 54
123; -328; 46; 78
124; -362; 53; 54
125; -322; 42; 58
126; -344; 35; 52
127; -351; 77; 66
128; -353; 47; 54
129; -336; 37; 53
130; -331; 44; 63
131; -330; 53; 71
132; -336; 52; 57
133; -332; 64; 53
134; -356; 72; 74
135; -334; 53; 86
136; -356; 44; 64
137; -353; 55; 55
138; -341; 34; 66
139; -343; 77; 60
140; -347; 59; 58
141; -338; 86; 72
142; -333; 69; 28
143; -344; 71; 71
144; -361; 64; 87
145; -352; 68; 48
146; -345; 45; 60
147; -349; 43; 57
148; -348; 39; 64
149; -336; 23; 63
150; -348; 63; 54
151; -361; 41; 79
152; -327; 39; 74
153; -348; 48; 52
154; -331; 78; 29
155; -338; 65; 59
156; -330; 37; 50
157; -343; 48; 69
158; -340; 46; 74
159; -344; 66; 54
160; -348; 47; 55
161; -342; 76; 57
162; -360; 53; 64
163; -339; 27; 60
164; -364; 58; 61
165; -324; 58; 69
166; -359; 72; 75
167; -325; 67; 74
168; -331; 55; 41
169; -339; 48; 55
170; -338; 53; 75
171; -310; 55; 49
172; -329; 67; 58
173; -329; 59; 62
174; -349; 47; 58
175; -353; 53; 83
176; -323; 89; 81
177; -331; 87; 50
178; -334; 57; 78
179; -347; 58; 51
180; -342; 22; 70
181; -347; 69; 47
182; -336; 58; 57
183; -348; 50; 64
184; -348; 43; 74
185; -341; 55; 62
186; -336; 61; 62
187; -334; 53; 54
188; -345; 64; 60
189; -339; 65; 68
190; -344; 45; 50
191; -324; 52; 45
192; -349; 45; 63
193; -341; 71; 57
194; -344; 64; 51
195; -349; 42; 72
196; -342; 45; 60
197; -350; 54; 59
198; -339; 47; 59
199; -344; 42; 59
200; -334; 52; 59
201; -351; 53; 76
202; -346; 47; 48
203; -339; 59; 47
204; -326; 53; 70
205; -339; 50; 79
206; -344; 33; 53
207; -359; 35; 49
208; -358; 51; 61
209; -351; 49; 57
210; -329; 67; 82
211; -358; 41; 71
212; -348; 40; 56
213; -341; 54; 56
214; -352; 53; 69
