t; gX; gY; gZ
0; -159; 25; 34
1; -165; 30; 31
2; -168; 35; 35
3; -172; 34; 35
4; -178; 28; 26
5; -170; 35; 37
6; -172; 32; 34
7; -168; 36; 22
8; -155; 29; 30
9; -174; 18; 45
10; -176; 32; 31
11; -173; 39; 24
12; -176; 22; 32
13; -174; 37; 35
14; -169; 23; 34
15; -165; 27; 32
16; -160; 38; 27
17; -168; 32; 26
18; -175; 37; 32
19; -184; 30; 24
20; -166; 20; 30
21; -158; 28; 21
22; -169; 30; 24
23; -166; 17; 24
24; -167; 19; 25
25; -172; 27; 32
26; -184; 33; 24
27; -167; 26; 39
28; -163; 21; 51
29; -176; 30; 35
30; -174; 26; 38
31; -177; 25; 25
32; -173; 37; 36
33; -169; 35; 41
34; -163; 28; 40
35; -169; 43; 26
36; -175; 32; 39
37; -176; 37; 23
38; -160; 27; 26
39; -180; 28; 31
40; -168; 31; 31
41; -177; 22; 25
42; -169; 27; 31
43; -178; 20; 36
44; -181; 20; 22
45; -186; 26; 22
46; -170; 25; 33
47; -171; 26; 24
48; -176; 21; 37
49; -181; 28; 35
50; -163; 16; 23
51; -166; 37; 35
52; -172; 24; 33
53; -167; 20; 30
54; -179; 45; 34
55; -172; 31; 28
56; -183; 32; 21
57; -177; 20; 26
58; -173; 24; 33
59; -170; 29; 32
60; -169; 26; 31
61; -163; 30; 31
62; -181; 20; 35
63; -167; 30; 31
64; -167; 42; 35
65; -162; 25; 38
66; -174; 24; 29
67; -170; 23; 31
68; -174; 29; 35
69; -170; 31; 25
70; -177; 25; 38
71; -168; 27; 24
72; -162; 34; 29
73; -168; 35; 22
74; -172; 21; 26
75; -169; 25; 34
76; -163; 32; 34
77; -175; 33; 36
78; -160; 17; 29
79; -174; 30; 28
80; -172; 17; 33
81; -180; 28; 29
82; -159; 31; 38
83; -172; 31; 36
84; -165; 28; 22
85; -168; 28; 29
86; -174; 24; 27
87; -181; 23; 31
88; -176; 25; 37
89; -170; 26; 25
90; -177; 19; 27
91; -177; 25; 24
92; -178; 25; 34
93; -174; 39; 37
94; -172; 28; 37
95; -167; 28; 26
96; -173; 33; 33
97; -170; 34; 22
98; -173; 26; 30
99; -170; 31; 46
100; -177; 26; 29
101; -178; 35; 30
102; -160; 14; 27
103; -181; 17; 39
104; -172; 31; 29
105; -165; 30; 37
106; -164; 19; 36
107; -170; 30; 32
108; -171; 23; 29
109; -171; 15; 31
110; -177; 33; 20
111; -175; 24; 37
112; -171; 21; 27
113; -172; 24; 22
114; -170; 29; 28
115; -164; 34; 30
116; -165; 34; 33
117; -168; 36; 32
118; -184; 25; 21
119; -173; 21; 30
120; -180; 24; 21
121; -177; 29; 36
122; -167; 30; 33
123; -168; 33; 35
124; -170; 32; 35
125; -179; 27; 27
126; -166; 32; 22
127; -183; 23; 7
128; -168; 27; 30
129; -169; 29; 29
130; -164; 27; 34
131; -170; 39; 28
132; -171; 28; 30
133; -170; 36; 30
134; -175; 31; 33
135; -172; 34; 26
136; -180; 42; 31
137; -174; 24; 25
138; -167; 31; 22
139; -170; 33; 31
140; -181; 19; 21
141; -176; 23; 29
142; -176; 28; 25
143; -166; 23; 29
144; -174; 33; 32
145; -174; 37; 19
146; -171; 33; 34
147; -172; 27; 23
148; -174; 16; 26
149; -170; 32; 32
150; -164; 25; 23
151; -174; 20; 25
152; -167; 40; 40
153; -181; 20; 28
154; -170; 9; 40
155; -174; 28; 33
156; -165; 29; 22
157; -168; 33; 36
158; -171; 29; 34
159; -178; 19; 24
160; -166; 25; 27
161; -157; 27; 37
162; -182; 23; 30
163; -168; 19; 27
164; -162; 38; 36
165; -166; 36; 44
166; -186; 15; 43
167; -171; 30; 21
168; -168; 25; 31
169; -168; 19; 20
170; -176; 27; 29
171; -176; 19; 33
172; -172; 27; 24
173; -171; 27; 37
174; -172; 20; 30
175; -179; 12; 30
176; -174; 38; 24
177; -171; 21; 31
178; -177; 25; 27
179; -172; 28; 25
180; -163; 28; 29
181; -166; 17; 31
182; -166; 22; 32
183; -170; 21; 33
184; -169; 27; 29
185; -172; 26; 30
186; -161; 28; 33
187; -174; 31; 32
188; -176; 30; 32
189; -186; 29; 38
190; -171; 20; 19
191; -167; 18; 32
192; -179; 30; 40
193; -167; 21; 25
194; -183; 33; 31
195; -174; 44; 35
196; -172; 25; 27
197; -178; 26; 38
198; -166; 33; 33
199; -172; 31; 38
200; -169; 24; 26
201; -173; 20; 31
202; -170; 21; 34
203; -174; 19; 32
204; -186; 19; 27
205; -172; 25; 37
206; -179; 45; 34
207; -173; 28; 39
208; -182; 32; 33
209; -173; 29; 31
210; -161; 22; 35
211; -167; 18; 30
212; -169; 38; 33
213; -178; 40; 30
214; -167; 21; 46
215; -160; 18; 39
216; -173; 32; 29
217; -183; 38; 21
218; -167; 34; 27
219; -171; 18; 34
220; -166; 18; 35
221; -171; 30; 23
222; -161; 17; 19
223; -163; 36; 32
224; -176; 30; 31
225; -166; 25; 33
226; -158; 28; 27
227; -186; 41; 32
228; -168; 33; 37
229; -179; 23; 28
230; -171; 28; 30
231; -174; 29; 28
232; -174; 23; 30
233; -174; 24; 32
234; -165; 26; 30
235; -173; 32; 25
236; -175; 36; 37
237; -161; 27; 34
238; -171; 25; 34
239; -160; 35; 34
240; -163; 28; 47
241; -165; 27; 35
242; -172; 24; 18
243; -168; 28; 28
244; -173; 41; 42
245; -170; 23; 36
246; -177; 32; 32
247; -168; 35; 31
248; -171; 25; 28
249; -171; 32; 35
250; -170; 37; 29
251; -176; 31; 33
252; -169; 33; 30
253; -163; 17; 26
254; -165; 27; 37
255; -161; 34; 37
256; -174; 29; 42
257; -161; 17; 38
258; -162; 30; 32
259; -182; 26; 31
260; -167; 23; 35
261; -169; 23; 24
262; -167; 16; 19
263; -170; 28; 35
264; -175; 38; 34
265; -180; 32; 35
266; -178; 22; 32
267; -164; 23; 28
268; -173; 21; 35
269; -174; 30; 24
270; -172; 30; 30
271; -166; 39; 32
