t; gX; gY; gZ
289; -83; 13; 19
290; -83; 9; 12
291; -85; 6; 16
292; -91; 15; 14
293; -84; 17; 16
294; -82; 17; 12
295; -84; 15; 11
296; -78; 14; 17
297; -88; 15; 12
298; -82; 13; 15
299; -86; 13; 14
300; -83; 12; 15
301; -83; 7; 17
302; -84; 8; 18
303; -93; 7; 13
304; -86; 7; 15
305; -84; 14; 15
306; -82; 16; 13
307; -86; 11; 18
308; -87; 19; 18
309; -83; 12; 15
310; -84; 12; 18
311; -88; 9; 18
312; -87; 16; 15
313; -85; 12; 17
314; -87; 14; 15
315; -86; 15; 14
316; -84; 16; 13
317; -89; 4; 15
318; -86; 12; 13
319; -84; 18; 13
320; -91; 11; 12
321; -91; 15; 15
322; -89; 17; 13
323; -85; 14; 12
324; -93; 17; 17
325; -87; 15; 14
326; -87; 12; 20
327; -89; 8; 12
328; -87; 18; 16
329; -84; 14; 13
330; -84; 13; 20
331; -87; 15; 14
332; -88; 17; 19
333; -90; 11; 20
334; -82; 12; 13
335; -85; 14; 17
336; -78; 9; 16
337; -83; 14; 18
338; -85; 11; 12
339; -88; 11; 12
340; -85; 13; 13
341; -84; 14; 16
342; -88; 17; 17
343; -88; 10; 13
344; -87; 15; 14
345; -83; 15; 11
346; -87; 19; 17
347; -85; 5; 11
348; -85; 17; 14
349; -85; 14; 17
350; -82; 12; 14
351; -87; 15; 12
352; -87; 11; 12
353; -84; 11; 16
354; -82; 15; 18
355; -81; 13; 20
356; -87; 13; 15
357; -84; 15; 21
358; -83; 14; 18
359; -83; 11; 15
360; -86; 13; 18
361; -82; 11; 15
362; -88; 12; 18
363; -82; 13; 12
364; -86; 11; 15
365; -87; 15; 17
366; -88; 18; 11
367; -86; 20; 13
368; -78; 16; 13
369; -83; 14; 19
370; -86; 13; 19
371; -83; 16; 17
372; -86; 14; 19
373; -90; 21; 11
374; -87; 12; 17
375; -84; 12; 11
376; -86; 9; 17
377; -84; 13; 13
378; -82; 10; 15
379; -83; 18; 19
380; -83; 12; 15
381; -88; 11; 12
382; -82; 13; 16
383; -86; 10; 19
384; -85; 15; 14
385; -86; 14; 14
386; -87; 14; 18
387; -83; 12; 15
388; -89; 8; 18
389; -87; 13; 15
390; -89; 12; 12
391; -84; 20; 15
392; -78; 13; 15
393; -84; 15; 18
394; -85; 8; 12
395; -84; 13; 19
