t; gX; gY; gZ
0; -42; 5; 9
1; -42; 7; 4
2; -44; 8; 5
3; -42; 8; 8
4; -44; 4; 9
5; -44; 7; 9
6; -44; 9; 6
7; -41; 7; 7
8; -43; 3; 6
9; -42; 5; 8
10; -44; 6; 10
11; -44; 6; 5
12; -44; 7; 6
13; -46; 3; 9
14; -44; 5; 8
15; -41; 4; 5
16; -43; 5; 10
17; -40; 7; 10
18; -44; 4; 7
19; -44; 9; 7
20; -41; 9; 6
21; -45; 8; 7
22; -44; 8; 6
23; -47; 6; 6
24; -42; 4; 11
25; -45; 7; 8
26; -45; 8; 7
27; -41; 7; 8
28; -45; 10; 7
29; -44; 7; 8
30; -43; 7; 3
31; -43; 6; 9
32; -43; 6; 6
33; -46; 6; 7
34; -43; 5; 6
35; -43; 8; 7
36; -43; 3; 8
37; -43; 7; 6
38; -44; 8; 8
39; -42; 4; 7
40; -45; 4; 7
41; -44; 8; 6
42; -42; 6; 7
43; -42; 9; 9
44; -42; 7; 7
45; -40; 6; 8
46; -43; 9; 5
47; -42; 8; 9
48; -45; 10; 5
49; -43; 5; 4
50; -45; 5; 8
51; -45; 5; 6
52; -45; 7; 8
53; -43; 6; 7
54; -43; 5; 7
55; -44; 8; 9
56; -43; 6; 5
57; -42; 6; 5
58; -41; 5; 9
59; -45; 5; 4
60; -44; 10; 5
61; -42; 9; 7
62; -43; 8; 8
63; -42; 7; 9
64; -43; 6; 7
65; -42; 6; 6
66; -44; 8; 6
67; -42; 7; 7
68; -44; 7; 8
69; -42; 8; 8
70; -43; 6; 9
71; -42; 7; 8
72; -45; 8; 9
73; -41; 8; 10
74; -42; 4; 7
75; -40; 9; 7
76; -42; 6; 9
77; -44; 6; 7
78; -42; 6; 6
79; -44; 5; 9
80; -45; 7; 6
81; -47; 8; 8
82; -43; 8; 7
83; -44; 6; 6
84; -42; 6; 9
85; -44; 6; 7
86; -43; 6; 7
87; -45; 7; 7
88; -44; 6; 8
89; -44; 5; 8
90; -44; 7; 7
91; -42; 6; 7
92; -43; 7; 9
93; -45; 9; 10
94; -46; 9; 4
95; -43; 5; 7
96; -45; 7; 7
97; -42; 7; 9
98; -44; 7; 8
99; -42; 7; 9
100; -43; 7; 6
101; -40; 7; 7
102; -41; 5; 9
103; -44; 4; 8
104; -44; 7; 11
105; -43; 7; 6
106; -42; 6; 7
107; -42; 8; 6
108; -41; 6; 5
109; -46; 8; 7
110; -43; 6; 6
111; -43; 5; 7
112; -44; 9; 7
113; -43; 3; 6
114; -41; 4; 9
115; -42; 7; 8
116; -43; 8; 9
117; -40; 6; 9
118; -45; 6; 6
119; -43; 7; 5
120; -41; 6; 4
121; -43; 7; 4
122; -46; 5; 8
123; -43; 8; 7
124; -44; 9; 10
125; -44; 9; 7
126; -45; 4; 7
127; -42; 6; 7
128; -41; 8; 7
129; -44; 6; 6
130; -43; 4; 6
131; -41; 6; 8
132; -44; 9; 7
133; -43; 9; 7
134; -41; 6; 10
135; -43; 5; 8
136; -46; 4; 8
137; -45; 6; 7
138; -46; 7; 8
139; -43; 7; 8
140; -44; 6; 9
141; -44; 7; 7
142; -45; 6; 6
143; -40; 7; 7
144; -44; 7; 6
145; -43; 6; 8
146; -41; 7; 8
147; -42; 5; 10
148; -42; 7; 9
149; -43; 6; 7
150; -41; 9; 7
151; -40; 8; 6
152; -44; 7; 8
153; -44; 6; 7
154; -44; 7; 5
155; -44; 8; 9
156; -45; 7; 7
157; -42; 6; 7
158; -45; 7; 8
159; -44; 5; 4
160; -42; 7; 5
161; -45; 8; 9
162; -43; 5; 8
163; -43; 7; 6
164; -42; 4; 7
165; -44; 7; 7
166; -42; 6; 7
167; -39; 7; 9
168; -43; 6; 7
169; -46; 4; 9
170; -42; 8; 9
171; -43; 8; 7
172; -45; 9; 8
173; -42; 7; 10
174; -42; 8; 7
175; -44; 4; 7
176; -41; 6; 7
177; -45; 6; 5
178; -45; 7; 10
179; -48; 6; 5
180; -40; 5; 7
181; -42; 5; 8
182; -43; 6; 6
183; -44; 6; 8
184; -46; 7; 7
185; -43; 7; 8
186; -44; 7; 6
187; -44; 2; 8
188; -42; 6; 7
189; -43; 6; 7
190; -41; 8; 5
191; -44; 8; 9
192; -44; 5; 8
193; -44; 9; 7
194; -46; 7; 7
195; -42; 7; 7
196; -44; 8; 9
197; -41; 7; 9
198; -43; 2; 8
199; -43; 4; 7
200; -44; 6; 7
201; -43; 2; 10
202; -41; 8; 8
203; -43; 8; 5
204; -44; 8; 8
205; -44; 7; 7
206; -42; 6; 7
207; -42; 4; 8
208; -43; 7; 8
209; -43; 3; 7
210; -41; 7; 4
211; -41; 6; 7
212; -45; 5; 8
213; -44; 7; 8
214; -45; 6; 6
215; -44; 6; 8
216; -43; 5; 8
217; -44; 7; 7
218; -44; 3; 7
219; -44; 7; 6
220; -44; 7; 9
221; -42; 7; 7
222; -40; 6; 7
223; -42; 10; 7
224; -43; 4; 8
225; -42; 5; 8
226; -44; 8; 8
227; -41; 5; 5
228; -43; 7; 9
229; -46; 6; 8
230; -43; 5; 9
231; -44; 6; 7
232; -43; 6; 8
233; -44; 8; 8
234; -43; 6; 6
235; -42; 8; 8
236; -43; 6; 6
237; -42; 7; 10
238; -40; 8; 10
239; -43; 7; 5
240; -42; 7; 5
241; -42; 8; 7
242; -43; 6; 8
243; -46; 4; 7
244; -42; 5; 7
245; -46; 9; 7
246; -45; 7; 10
247; -43; 4; 7
248; -44; 6; 5
249; -44; 8; 6
250; -42; 7; 10
251; -43; 5; 8
252; -42; 5; 9
253; -43; 8; 8
254; -39; 8; 6
255; -45; 5; 9
256; -42; 6; 7
257; -43; 6; 9
258; -47; 7; 9
259; -43; 8; 10
260; -43; 9; 7
261; -42; 5; 7
262; -42; 4; 8
263; -45; 7; 6
264; -42; 8; 8
265; -42; 9; 7
266; -42; 9; 6
267; -43; 6; 6
268; -44; 11; 8
269; -45; 6; 8
270; -43; 8; 10
271; -43; 11; 5
272; -43; 7; 9
273; -42; 3; 5
274; -41; 6; 10
275; -47; 7; 7
276; -43; 9; 8
277; -44; 8; 7
278; -43; 4; 8
279; -46; 4; 8
280; -45; 5; 5
281; -43; 10; 6
282; -41; 4; 9
283; -42; 8; 6
284; -43; 6; 6
285; -44; 6; 9
286; -43; 7; 8
287; -43; 5; 7
288; -43; 7; 7
289; -44; 9; 9
290; -44; 8; 5
291; -42; 9; 6
292; -44; 7; 7
293; -45; 8; 6
294; -41; 5; 5
295; -41; 5; 9
296; -45; 7; 10
297; -41; 6; 7
298; -43; 4; 8
299; -40; 4; 7
300; -41; 7; 9
301; -42; 8; 7
302; -43; 7; 10
303; -43; 6; 8
304; -41; 7; 8
305; -41; 5; 6
306; -47; 8; 3
307; -41; 3; 5
308; -44; 8; 7
309; -41; 7; 8
310; -43; 8; 6
311; -41; 6; 8
312; -46; 8; 9
313; -42; 7; 7
314; -40; 6; 6
315; -41; 8; 8
316; -46; 8; 8
317; -44; 3; 8
318; -42; 10; 7
319; -44; 4; 7
320; -43; 7; 9
321; -40; 5; 8
322; -43; 2; 7
323; -41; 8; 8
324; -42; 7; 6
325; -44; 5; 8
326; -43; 5; 7
327; -44; 5; 8
328; -44; 5; 10
329; -44; 8; 7
330; -43; 7; 8
331; -41; 6; 7
332; -44; 7; 9
333; -42; 5; 5
334; -40; 9; 8
335; -44; 8; 8
336; -42; 6; 7
337; -44; 5; 6
338; -45; 8; 8
339; -41; 8; 6
340; -43; 6; 6
341; -45; 8; 4
342; -44; 9; 9
343; -43; 7; 8
344; -44; 8; 6
345; -42; 5; 8
346; -40; 7; 8
347; -43; 4; 9
348; -42; 6; 7
349; -44; 9; 9
350; -45; 3; 8
351; -44; 6; 6
352; -46; 6; 7
353; -45; 6; 9
354; -42; 7; 9
355; -42; 6; 8
356; -43; 6; 8
357; -44; 7; 8
358; -41; 8; 8
359; -43; 7; 8
360; -43; 8; 6
361; -40; 8; 8
362; -41; 4; 6
363; -40; 7; 8
364; -44; 6; 8
365; -43; 6; 6
366; -45; 5; 6
367; -41; 6; 9
368; -42; 8; 8
369; -42; 6; 8
370; -43; 5; 9
371; -39; 10; 8
372; -41; 8; 9
373; -43; 5; 9
374; -45; 6; 7
375; -43; 7; 10
376; -42; 7; 6
377; -40; 6; 6
378; -44; 9; 6
379; -41; 3; 8
380; -44; 8; 8
381; -47; 5; 7
382; -39; 9; 9
383; -43; 4; 7
384; -44; 6; 8
385; -44; 6; 8
386; -45; 8; 9
387; -45; 7; 5
388; -43; 6; 8
389; -40; 6; 8
390; -45; 6; 9
391; -42; 7; 7
392; -43; 7; 9
393; -44; 6; 9
394; -44; 8; 6
395; -44; 7; 9
396; -43; 7; 4
397; -43; 8; 7
398; -43; 4; 8
399; -46; 5; 8
400; -45; 7; 10
401; -41; 3; 10
402; -46; 5; 6
403; -45; 5; 9
404; -44; 9; 9
405; -42; 6; 7
406; -43; 5; 8
407; -43; 6; 10
408; -45; 8; 6
409; -41; 5; 8
410; -43; 7; 8
